2026-02-14 16:12:53,111 | INFO     | root | logger initialized: file=D:\Work\autoTest\logs\framework.log level=INFO
2026-02-14 16:12:53,111 | INFO     | smoke | smoke test log line
2026-02-14 16:15:43,313 | INFO     | root | logger initialized: file=D:\Work\autoTest\logs\framework.log level=INFO
2026-02-14 16:15:43,315 | INFO     | __main__ | start login flow
2026-02-14 16:15:43,316 | INFO     | common.request | ============================================================
2026-02-14 16:15:43,316 | INFO     | common.request | request method: POST
2026-02-14 16:15:43,316 | INFO     | common.request | request url: https://test-digital.hnlshm.com/gateway/admin/user/login
2026-02-14 16:15:43,316 | INFO     | common.request | request headers: {'Content-Type': 'application/json', 'x-app-id': 'store-selection-service', 'X-App-Secret': 'c3RvcmUtc2VsZWN0aW9uLXNlcnZpY2U='}
2026-02-14 16:15:43,316 | INFO     | common.request | request params: None
2026-02-14 16:15:43,316 | INFO     | common.request | request data: None
2026-02-14 16:15:43,316 | INFO     | common.request | request json: {'appId': 'sys_admin', 'endpoint': 'pc', 'password': 'b49b9a6864a40343eca6fa8c4883c1004c7671842f6bccdb1be419c7ea63471e4f9a8c0ec2039f0f5e635b36542d5d5fad8ab107c555202006431af286ab9c9b', 'userName': 18620130825}
2026-02-14 16:15:43,676 | INFO     | common.request | response status_code: 200
2026-02-14 16:15:43,677 | INFO     | common.request | response text: {"respCode":"200","respMsg":"操作成功","data":{"loginUser":"%7B%22realName%22%3A%22%E9%AB%98%E5%90%91%E9%98%B3%22%2C%22user_role%22%3A%223f2e15376e9a020943b4cf249c50ed05%2Ce03303a0b1da300f10496b38d8768ab7%22%2C%22endpoint%22%3A%22pc%22%2C%22userStatus%22%3A%223%22%2C%22user_type%22%3A%22internal%22%2C%22phone%22%3A%2218620130825%22%2C%22login_serial%22%3A%22admin%3A624430782%3A1771056945430%22%2C%22userId%22%3A624430782%2C%22email%22%3A%22186201305%40qq.com%22%2C%22orgId%22%3A%22900701726%22%7D","token":"eyJhbGciOiJIUzUxMiJ9.eyJ1c2VyX2luZm8iOiJhZG1pbjo2MjQ0MzA3ODI6MTc3MTA1Njk0NTQzMCIsImlzX3Rva2VuX2NhY2hlZCI6dHJ1ZSwiZXhwIjoxNzcxMTAwMTQ1fQ.qXwwZRvOg9e4A879gQ_VyGE_7BPCGwziWLA9r_Ow24IFZWLzW6s_JPrPSLmHlPqtwaytzx0p89oXqT2F_P1QrA"},"success":true}
2026-02-14 16:15:43,678 | INFO     | __main__ | login finished, token length=222
2026-02-14 17:34:35,247 | INFO     | root | logger initialized: file=D:\Work\autoTest\logs\framework.log level=INFO
2026-02-14 17:34:36,523 | INFO     | root | logger initialized: file=D:\Work\autoTest\logs\framework.log level=INFO
2026-02-14 17:35:49,045 | INFO     | root | logger initialized: file=D:\Work\autoTest\logs\framework.log level=INFO
2026-02-14 17:35:50,981 | INFO     | root | logger initialized: file=D:\Work\autoTest\logs\framework.log level=INFO
2026-02-14 17:36:10,235 | INFO     | root | logger initialized: file=D:\Work\autoTest\logs\framework.log level=INFO
2026-02-14 17:41:22,697 | INFO     | root | logger initialized: file=D:\Work\autoTest\logs\framework.log level=INFO
2026-02-14 17:50:24,720 | INFO     | root | logger initialized: file=D:\Work\autoTest\logs\framework.log level=INFO
2026-02-14 17:53:38,779 | INFO     | root | logger initialized: file=D:\Work\autoTest\logs\framework.log level=INFO
2026-02-14 17:53:48,653 | INFO     | root | logger initialized: file=D:\Work\autoTest\logs\framework.log level=INFO
2026-02-14 17:53:52,040 | INFO     | root | logger initialized: file=D:\Work\autoTest\logs\framework.log level=INFO
2026-02-14 17:53:54,452 | INFO     | root | logger initialized: file=D:\Work\autoTest\logs\framework.log level=INFO
2026-02-14 17:53:56,844 | INFO     | root | logger initialized: file=D:\Work\autoTest\logs\framework.log level=INFO
2026-02-14 17:54:00,356 | INFO     | root | logger initialized: file=D:\Work\autoTest\logs\framework.log level=INFO
2026-02-14 17:54:02,372 | INFO     | root | logger initialized: file=D:\Work\autoTest\logs\framework.log level=INFO
2026-02-14 17:54:05,808 | INFO     | root | logger initialized: file=D:\Work\autoTest\logs\framework.log level=INFO
2026-02-14 17:54:07,445 | INFO     | root | logger initialized: file=D:\Work\autoTest\logs\framework.log level=INFO
2026-02-14 17:54:18,134 | INFO     | root | logger initialized: file=D:\Work\autoTest\logs\framework.log level=INFO
2026-02-14 17:54:24,482 | INFO     | root | logger initialized: file=D:\Work\autoTest\logs\framework.log level=INFO
2026-02-14 17:54:34,403 | INFO     | root | logger initialized: file=D:\Work\autoTest\logs\framework.log level=INFO
2026-02-14 17:54:42,453 | INFO     | root | logger initialized: file=D:\Work\autoTest\logs\framework.log level=INFO
2026-02-14 17:54:48,317 | INFO     | root | logger initialized: file=D:\Work\autoTest\logs\framework.log level=INFO
2026-02-14 17:55:07,979 | INFO     | root | logger initialized: file=D:\Work\autoTest\logs\framework.log level=INFO
2026-02-14 17:55:11,946 | INFO     | root | logger initialized: file=D:\Work\autoTest\logs\framework.log level=INFO
2026-02-14 17:55:14,334 | INFO     | root | logger initialized: file=D:\Work\autoTest\logs\framework.log level=INFO
2026-02-14 17:55:17,557 | INFO     | root | logger initialized: file=D:\Work\autoTest\logs\framework.log level=INFO
2026-02-14 17:55:36,552 | INFO     | root | logger initialized: file=D:\Work\autoTest\logs\framework.log level=INFO
2026-02-14 17:55:40,091 | INFO     | root | logger initialized: file=D:\Work\autoTest\logs\framework.log level=INFO
2026-02-14 17:55:40,093 | INFO     | __main__ | start login flow
2026-02-14 17:59:31,218 | INFO     | root | logger initialized: file=D:\Work\autoTest\logs\framework.log level=INFO
2026-02-14 17:59:33,673 | INFO     | root | logger initialized: file=D:\Work\autoTest\logs\framework.log level=INFO
2026-02-14 18:00:08,695 | INFO     | root | logger initialized: file=D:\Work\autoTest\logs\framework.log level=INFO
2026-02-14 18:00:33,018 | INFO     | root | logger initialized: file=D:\Work\autoTest\logs\framework.log level=INFO
2026-02-14 18:00:34,836 | INFO     | root | logger initialized: file=D:\Work\autoTest\logs\framework.log level=INFO
2026-02-14 18:00:36,209 | INFO     | root | logger initialized: file=D:\Work\autoTest\logs\framework.log level=INFO
2026-02-14 18:02:10,904 | INFO     | root | logger initialized: file=D:\Work\autoTest\logs\framework.log level=INFO
2026-02-14 18:02:15,704 | INFO     | root | logger initialized: file=D:\Work\autoTest\logs\framework.log level=INFO
2026-02-14 18:02:21,400 | INFO     | root | logger initialized: file=D:\Work\autoTest\logs\framework.log level=INFO
2026-02-24 09:39:23,121 | INFO     | root | logger initialized: file=D:\Work\autoTest\logs\framework.log level=INFO
2026-02-24 13:34:19,379 | INFO     | root | logger initialized: file=D:\Work\autoTest\logs\framework.log level=INFO
2026-02-24 13:34:19,403 | INFO     | root | logger initialized: file=D:\Work\autoTest\logs\framework.log level=INFO
2026-02-24 13:34:27,011 | INFO     | root | logger initialized: file=D:\Work\autoTest\logs\framework.log level=INFO
2026-02-24 13:34:27,259 | INFO     | root | logger initialized: file=D:\Work\autoTest\logs\framework.log level=INFO
2026-02-24 13:38:50,497 | INFO     | root | logger initialized: file=D:\Work\autoTest\logs\framework.log level=INFO
2026-02-24 13:38:50,578 | INFO     | root | logger initialized: file=D:\Work\autoTest\logs\framework.log level=INFO
2026-02-24 13:38:52,850 | INFO     | root | logger initialized: file=D:\Work\autoTest\logs\framework.log level=INFO
2026-02-24 13:38:53,061 | INFO     | root | logger initialized: file=D:\Work\autoTest\logs\framework.log level=INFO
2026-02-24 13:38:53,994 | INFO     | root | logger initialized: file=D:\Work\autoTest\logs\framework.log level=INFO
2026-02-24 13:38:54,249 | INFO     | root | logger initialized: file=D:\Work\autoTest\logs\framework.log level=INFO
2026-02-24 13:39:02,819 | INFO     | root | logger initialized: file=D:\Work\autoTest\logs\framework.log level=INFO
2026-02-24 13:39:03,013 | INFO     | root | logger initialized: file=D:\Work\autoTest\logs\framework.log level=INFO
2026-02-24 13:39:04,919 | INFO     | root | logger initialized: file=D:\Work\autoTest\logs\framework.log level=INFO
2026-02-24 13:39:05,122 | INFO     | root | logger initialized: file=D:\Work\autoTest\logs\framework.log level=INFO
2026-02-24 13:39:33,677 | INFO     | root | logger initialized: file=D:\Work\autoTest\logs\framework.log level=INFO
2026-02-24 13:39:33,890 | INFO     | root | logger initialized: file=D:\Work\autoTest\logs\framework.log level=INFO
2026-02-24 13:39:53,208 | INFO     | root | logger initialized: file=D:\Work\autoTest\logs\framework.log level=INFO
2026-02-24 13:39:53,434 | INFO     | root | logger initialized: file=D:\Work\autoTest\logs\framework.log level=INFO
2026-02-24 13:39:56,070 | INFO     | root | logger initialized: file=D:\Work\autoTest\logs\framework.log level=INFO
2026-02-24 13:39:56,320 | INFO     | root | logger initialized: file=D:\Work\autoTest\logs\framework.log level=INFO
2026-02-24 13:40:22,693 | INFO     | root | logger initialized: file=D:\Work\autoTest\logs\framework.log level=INFO
2026-02-24 13:40:22,948 | INFO     | root | logger initialized: file=D:\Work\autoTest\logs\framework.log level=INFO
2026-02-24 13:40:27,889 | INFO     | root | logger initialized: file=D:\Work\autoTest\logs\framework.log level=INFO
2026-02-24 13:40:28,146 | INFO     | root | logger initialized: file=D:\Work\autoTest\logs\framework.log level=INFO
2026-02-24 13:40:44,942 | INFO     | root | logger initialized: file=D:\Work\autoTest\logs\framework.log level=INFO
2026-02-24 13:40:45,159 | INFO     | root | logger initialized: file=D:\Work\autoTest\logs\framework.log level=INFO
2026-02-24 13:40:50,812 | INFO     | root | logger initialized: file=D:\Work\autoTest\logs\framework.log level=INFO
2026-02-24 13:40:51,049 | INFO     | root | logger initialized: file=D:\Work\autoTest\logs\framework.log level=INFO
2026-02-24 13:41:13,872 | INFO     | root | logger initialized: file=D:\Work\autoTest\logs\framework.log level=INFO
2026-02-24 13:41:14,091 | INFO     | root | logger initialized: file=D:\Work\autoTest\logs\framework.log level=INFO
2026-02-24 14:05:26,323 | INFO     | root | logger initialized: file=D:\Work\autoTest\logs\framework.log level=INFO
2026-02-24 14:06:43,360 | INFO     | root | logger initialized: file=D:\Work\autoTest\logs\framework.log level=INFO
2026-02-24 14:08:42,454 | INFO     | root | logger initialized: file=D:\Work\autoTest\logs\framework.log level=INFO
2026-02-24 14:08:44,042 | INFO     | root | logger initialized: file=D:\Work\autoTest\logs\framework.log level=INFO
2026-02-24 14:09:17,160 | INFO     | root | logger initialized: file=D:\Work\autoTest\logs\framework.log level=INFO
